"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-11-10",231659,1347,26335,11952,3946,61964,500692,130048210,938416,2922,3205,10122811,130989,3961873,56,159483885,1237365
"2020-11-09",230312,580,26087,11533,2301,59275,496746,129109794,1224702,2907,3110,9991822,118708,3928845,56,158246520,1518878
"2020-11-08",229732,487,25819,11120,1602,56799,494445,127885092,924896,2900,2977,9873114,110838,3881558,56,156727642,1259450
"2020-11-07",229245,1104,25721,11082,2374,55840,492843,126960196,979681,2898,2947,9762276,129191,3851509,56,155468192,1405858
"2020-11-06",228141,1186,25498,11085,3054,54824,490469,125980515,1142643,2885,2850,9633085,125252,3810791,56,154062334,1562024
"2020-11-05",226955,1124,25276,10918,3735,53322,487415,124837872,1180777,2872,2877,9507833,116153,3781751,56,152500310,1563726
"2020-11-04",225831,1116,25041,10761,2802,52049,483680,123657095,862718,2853,2832,9391680,103067,3743527,56,150936584,1207099
"2020-11-03",224715,1529,24796,10406,3148,50340,480878,122794377,839957,2833,2733,9288613,86081,3705130,56,149729485,1125798
"2020-11-02",223186,476,24560,9858,1502,48470,477730,121954420,1072374,2809,2637,9202532,82248,3674981,56,148603687,1327965
"2020-11-01",222710,391,24457,9553,1154,47520,476228,120882046,816245,2797,2553,9120284,74051,3633903,56,147275722,1139567
"2020-10-31",222319,963,24375,9499,2074,47375,475074,120065801,1038275,2786,2502,9046233,90492,3612517,56,146136155,1373818
"2020-10-30",221356,933,24230,9437,2421,46688,473000,119027526,979381,2776,2477,8955741,96709,3578452,56,144762337,1362005
"2020-10-29",220423,1049,24082,9208,2292,46095,470579,118048145,1006720,2760,2403,8859032,87993,3554336,56,143400332,1324645
"2020-10-28",219374,1025,23883,9034,2510,45045,468287,117041425,796280,2744,2347,8771039,78637,3518140,56,142075687,1085623
"2020-10-27",218349,931,23701,8909,2248,44212,465777,116245145,818073,2719,2287,8692402,72997,3487666,56,140990064,1080661
"2020-10-26",217418,389,23542,8842,1838,42917,463529,115427072,980926,2703,2301,8619405,62103,3460455,56,139909403,1201328
"2020-10-25",217029,377,23420,8489,1153,41776,461691,114446146,901133,2693,2176,8557302,65092,3422934,56,138708075,1191449
"2020-10-24",216652,890,23356,8561,1756,41905,460538,113545013,960564,2691,2230,8492210,82745,3406701,56,137516626,1321334
"2020-10-23",215762,917,23221,8237,15005,41482,458782,112584449,1042748,2679,2180,8409465,82262,3375480,56,136195292,1378574
"2020-10-22",214845,1143,23018,8086,2571,41010,443777,111541701,912912,2641,2147,8327203,72887,3353056,56,134816718,1218558
"2020-10-21",213702,1024,22855,8182,2239,40271,441206,110628789,690695,2622,2090,8254316,60657,3323354,56,133598160,939535
"2020-10-20",212678,832,22662,8131,2150,39230,438967,109938094,756552,2593,2045,8193659,60312,3295426,56,132658625,948693
"2020-10-19",211846,456,22475,7997,1684,37826,436817,109181542,1025252,2577,1800,8133347,56902,3272603,56,131709932,1130890
"2020-10-18",211390,393,22391,7292,853,36437,435133,108156290,769968,2557,1762,8076445,48632,3234183,56,130579042,1055833
"2020-10-17",210997,780,22320,7384,1535,37359,434280,107386322,961440,2553,1791,8027813,57748,3220607,56,129523209,1295276
