"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-11-10","NY","B",26005,,32,,89995,89995,1548,0,,296,15368121,124071,,,,,128,536145,536145,3965,0,,,,,,80854,15904266,128036,15904266,128036,,,,,,0,,0
"2020-11-09","NY","B",25973,,26,,89995,89995,1444,0,,282,15244050,108272,,,,,125,532180,532180,3144,0,,,,,,80764,15776230,111416,15776230,111416,,,,,,0,,0
"2020-11-08","NY","B",25947,,19,,89995,89995,1396,0,,295,15135778,142214,,,,,131,529036,529036,3428,0,,,,,,80646,15664814,145642,15664814,145642,,,,,,0,,0
"2020-11-07","NY","B",25928,,18,,89995,89995,1381,0,,308,14993564,159704,,,,,138,525608,525608,3587,0,,,,,,80494,15519172,163291,15519172,163291,,,,,,0,,0
"2020-11-06","NY","B",25910,,18,,89995,89995,1321,0,,285,14833860,157496,,,,,129,522021,522021,3209,0,,,,,,80368,15355881,160705,15355881,160705,,,,,,0,,0
"2020-11-05","NY","B",25892,,24,,89995,89995,1277,0,,268,14676364,158022,,,,,128,518812,518812,2997,0,,,,,,80225,15195176,161019,15195176,161019,,,,,,0,,0
"2020-11-04","NY","B",25868,,15,,89995,89995,1253,0,,284,14518342,131408,,,,,129,515815,515815,2126,0,,,,,,80109,15034157,133534,15034157,133534,,,,,,0,,0
"2020-11-03","NY","B",25853,,15,,89995,89995,1227,0,,268,14386934,125548,,,,,120,513689,513689,2321,0,,,,,,79990,14900623,127869,14900623,127869,,,,,,0,,0
"2020-11-02","NY","B",25838,,14,,89995,89995,1151,0,,276,14261386,94468,,,,,117,511368,511368,1633,0,,,,,,79831,14772754,96101,14772754,96101,,,,,,0,,0
"2020-11-01","NY","B",25824,,17,,89995,89995,1125,0,,259,14166918,146680,,,,,117,509735,509735,2255,0,,,,,,79831,14676653,148935,14676653,148935,,,,,,0,,0
"2020-10-31","NY","B",25807,,3,,89995,89995,1121,0,,248,14020238,134913,,,,,122,507480,507480,2049,0,,,,,,79717,14527718,136962,14527718,136962,,,,,,0,,0
"2020-10-30","NY","B",25804,,12,,89995,89995,1085,0,,243,13885325,144630,,,,,116,505431,505431,2255,0,,,,,,79621,14390756,146885,14390756,146885,,,,,,0,,0
"2020-10-29","NY","B",25792,,19,,89995,89995,1085,0,,237,13740695,165854,,,,,114,503176,503176,2499,0,,,,,,79501,14243871,168353,14243871,168353,,,,,,0,,0
"2020-10-28","NY","B",25773,,15,,89995,89995,1085,0,,236,13574841,127629,,,,,120,500677,500677,2031,0,,,,,,79366,14075518,129660,14075518,129660,,,,,,0,,0
"2020-10-27","NY","B",25758,,16,,89995,89995,1083,0,,233,13447212,109627,,,,,120,498646,498646,1991,0,,,,,,79230,13945858,111618,13945858,111618,,,,,,0,,0
"2020-10-26","NY","B",25742,,12,,89995,89995,1059,0,,237,13337585,80926,,,,,118,496655,496655,1191,0,,,,,,79162,13834240,82117,13834240,82117,,,,,,0,,0
"2020-10-25","NY","B",25730,,12,,89995,89995,1015,0,,227,13256659,119198,,,,,118,495464,495464,1632,0,,,,,,79092,13752123,120830,13752123,120830,,,,,,0,,0
"2020-10-24","NY","B",25718,,13,,89995,89995,1045,0,,231,13137461,154879,,,,,113,493832,493832,2061,0,,,,,,78960,13631293,156940,13631293,156940,,,,,,0,,0
"2020-10-23","NY","B",25705,,11,,89995,89995,1023,0,,223,12982582,139871,,,,,109,491771,491771,1637,0,,,,,,78854,13474353,141508,13474353,141508,,,,,,0,,0
"2020-10-22","NY","B",25694,,15,,89995,89995,986,0,,209,12842711,133713,,,,,106,490134,490134,1628,0,,,,,,78753,13332845,135341,13332845,135341,,,,,,0,,0
"2020-10-21","NY","B",25679,,7,,89995,89995,950,0,,201,12708998,122763,,,,,103,488506,488506,2026,0,,,,,,78645,13197504,124789,13197504,124789,,,,,,0,,0
"2020-10-20","NY","B",25672,,13,,89995,89995,942,0,,194,12586235,89339,,,,,99,486480,486480,1201,0,,,,,,78530,13072715,90540,13072715,90540,,,,,,0,,0
"2020-10-19","NY","B",25659,,15,,89995,89995,934,0,,198,12496896,81011,,,,,106,485279,485279,998,0,,,,,,78442,12982175,82009,12982175,82009,,,,,,0,,0
"2020-10-18","NY","B",25644,,7,,89995,89995,913,0,,200,12415885,127373,,,,,102,484281,484281,1390,0,,,,,,78362,12900166,128763,12900166,128763,,,,,,0,,0
"2020-10-17","NY","B",25637,,9,,89995,89995,929,0,,195,12288512,158188,,,,,103,482891,482891,1784,0,,,,,,78235,12771403,159972,12771403,159972,,,,,,0,,0
"2020-10-16","NY","B",25628,,10,,89995,89995,918,0,,200,12130324,134332,,,,,97,481107,481107,1707,0,,,,,,78117,12611431,136039,12611431,136039,,,,,,0,,0
"2020-10-15","NY","B",25618,,13,,89995,89995,897,0,,197,11995992,131752,,,,,95,479400,479400,1460,0,,,,,,78006,12475392,133212,12475392,133212,,,,,,0,,0
"2020-10-14","NY","B",25605,,7,,89995,89995,938,0,,201,11864240,110512,,,,,100,477940,477940,1232,0,,,,,,77870,12342180,111744,12342180,111744,,,,,,0,,0
"2020-10-13","NY","B",25598,,11,,89995,89995,923,0,,181,11753728,97677,,,,,90,476708,476708,1393,0,,,,,,77755,12230436,99070,12230436,99070,,,,,,0,,0
"2020-10-12","NY","B",25587,,13,,89995,89995,878,0,,185,11656051,90764,,,,,84,475315,475315,1029,0,,,,,,77631,12131366,91793,12131366,91793,,,,,,0,,0
"2020-10-11","NY","B",25574,,5,,89995,89995,820,0,,186,11565287,117111,,,,,84,474286,474286,1143,0,,,,,,77631,12039573,118254,12039573,118254,,,,,,0,,0
"2020-10-10","NY","B",25569,,8,,89995,89995,826,0,,179,11448176,133132,,,,,81,473143,473143,1447,0,,,,,,77514,11921319,134579,11921319,134579,,,,,,0,,0
"2020-10-09","NY","B",25561,,6,,89995,89995,779,0,,168,11315044,137708,,,,,78,471696,471696,1592,0,,,,,,77432,11786740,139300,11786740,139300,,,,,,0,,0
"2020-10-08","NY","B",25555,,10,,89995,89995,754,0,,172,11177336,143975,,,,,67,470104,470104,1836,0,,,,,,77351,11647440,145811,11647440,145811,,,,,,0,,0
"2020-10-07","NY","B",25545,,9,,89995,89995,748,0,,176,11033361,106886,,,,,72,468268,468268,1360,0,,,,,,77267,11501629,108246,11501629,108246,,,,,,0,,0
"2020-10-06","NY","B",25536,,9,,89995,89995,705,0,,158,10926475,94966,,,,,72,466908,466908,1393,0,,,,,,77192,11393383,96359,11393383,96359,,,,,,0,,0
"2020-10-05","NY","B",25527,,8,,89995,89995,636,0,,149,10831509,75471,,,,,70,465515,465515,933,0,,,,,,77141,11297024,76404,11297024,76404,,,,,,0,,0
"2020-10-04","NY","B",25519,,14,,89995,89995,618,0,,138,10756038,109107,,,,,67,464582,464582,1222,0,,,,,,77090,11220620,110329,11220620,110329,,,,,,0,,0
